teased дражниться
sheepman вівчар
unexpendable неспоживаний
toddy пунш
tutelary опікунський
silica кремнезем
attraction тяжіння
serf фортечної
inapt непідходящий
jewels самоцвіти
cogitated обдуманий
perversely неправильно
lactose лактоза
parody пародія
seleniums селени
nuts горіхи
poker покер
weir гребля
apprehensions розуміння
seals печаті
deducible виведений
self-financing самофінансування
shacks хатини
overtones обертони
pseudonym псевдонім
demark розпозначте
multiseasonal багатосезонний
governmental урядовий
capped покритий
great-hearted великодушний
deserts пустелі
supercools переохолоджується
rays промені
jigger танцюрист
depositories вклади
juicily соковито
tester щуп
unexact неточний
assayed випробуваний
vehicular перевізний
selectors селектори
cockles молюски
orderly санітар
heritages спадщина
stringency суворість
bestrode сів
self-consistency сам-послідовність
milk-and-water слабкий
brollies парасольки
cactus кактус
summation сукупність
antiexplosive антивибуховий
coalesced об'єднаний
expressively виразно
blossoms розквіти
conciliated примирений
chain перекрити
candied улесливий
plundered грабується
threshing-machine молотарка
defocused розсфокусований
siding гілка
humanist гуманіст
subdepartment підвідділ
shakedown вимагання
caulked конопатиться
scotchman шотландець
computer той
entwined вплетений
priming ґрунтовка
notional уявний
give-away низько
pastime розвага
dissatisfaction незадоволення
roomily просторо
dashed розбитий
secrecy таїна
awoke будиться
lettuces салати
dinar динар
enjoined приписаний
strumpet проститутка
travelled проїзний
unfaltering непохитний
subsentence підречення
feeze турбувати
landfalls обвали
shaven стружеться
toddle шкутильгайте
transurethral трансуретральний
determinism детермінізм
vast широкий
drachm драхма
embezzlements привласнення
sloth повільність
non-affiliation неприєднання
entanglement заплутаність
gun-cotton піроксилін
ties узи
townsman співгромадянин
uncategorical некатегоричний
sterilizations стерилізації
ect ект
unarmed роззброєний
snow-fall снігопад
unsalutary неблаготворний
purlieu пригород
conservator хранитель
electrometer електрометр
transference перенесення
frighteningly лякати
bullion зливок
recollect пригадати
diverting відхилення
body-guard охоронець
opposing противитися
pangolin ящір
headmost передовий
cinematically кінематично
wiped витертий
babbles лепет
manly мужній
proxy уповноваження
lauds похвали
phantasmagoria фантасмагорія
inelegant несмачний
devilry чортовиння
disbandment розпуск
glass-man скляр
feminist фемініст
undesirous небажаючий
suspender помочи
beguilement розвага
blowy вітряний
leisures дозвілля
artilleryman артилерист
wall-eye косоокість
ecliptic екліптика
phalange фаланга
commerces торгівлі
well-done добренько
vaporize розпорошувати
papular прищавий
overreach зарубка
vertebrate хребетний
lavatories убиральні
cotton-plant бавовник
enplanes сідає
greasy украдливий
souths півдні
discontent незадоволений
festivities свята
fornication перелюбство
tractor-driver тракторист
foolery дурощі
rigorously строго
lake озеро
costliest найдорожчий
spherical сферичний
lissome швидкий
unglobal невсесвітній
unmourning нетраур
frightened лякається
mystifying містифікування
curtailing скорочення
multifeatureless багатоневиразний
jiggers сортувальники
belarusian білорус
fertilize удобрювати
loads вантажі
carrot рудий
horns роги
quixote донкіхот
multiworthy багатогідний
intertwisted переплітається
flattery лестощі
cloddish незграбний
